         27639943 function calls (27011647 primitive calls) in 586.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13443    0.020    0.000    0.289    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\common.py:160(is_url)
    26884    0.021    0.000    0.279    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:511(_validate_dtype)
    13443    0.073    0.000    0.267    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:374(urlparse)
    13442    0.046    0.000    0.266    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:6459(any)
    13442    0.098    0.000    0.265    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:908(_set)
38810/38377    0.264    0.000    0.261    0.000 {built-in method _winapi.ReadFile}
    26884    0.102    0.000    0.257    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\common.py:1596(pandas_dtype)
   451393    0.141    0.000    0.256    0.000 {built-in method builtins.hasattr}
    13522    0.159    0.000    0.249    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\reduction.py:38(__init__)
    13443    0.022    0.000    0.243    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\common.py:131(close)
    26884    0.081    0.000    0.242    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\managers.py:1863(from_array)
    13442    0.138    0.000    0.235    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\base_parser.py:115(__init__)
    13443    0.220    0.000    0.220    0.000 {method 'close' of '_io.TextIOWrapper' objects}
    40330    0.045    0.000    0.220    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\_config\config.py:145(_get_option)
   405744    0.161    0.000    0.219    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\process.py:247(sentinel)
    53768    0.191    0.000    0.214    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\concat.py:52(concat_compat)
    94094    0.058    0.000    0.211    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\base.py:7688(maybe_extract_name)
    13442    0.033    0.000    0.210    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:6418(_reduce)
    53768    0.115    0.000    0.204    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\cast.py:1579(construct_1d_object_array_from_listlike)
    13442    0.139    0.000    0.194    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\readers.py:1627(_get_options_with_defaults)
    13442    0.032    0.000    0.188    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\managers.py:557(copy)
        1    0.000    0.000    0.184    0.184 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\reshape\concat.py:699(new_axes)
  1070995    0.182    0.000    0.182    0.000 {built-in method unicodedata.east_asian_width}
    67245    0.151    0.000    0.181    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:278(__init__)
    13522    0.171    0.000    0.174    0.000 {method 'dump' of '_pickle.Pickler' objects}
    26902    0.120    0.000    0.169    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\generic.py:6236(__finalize__)
        1    0.000    0.000    0.168    0.168 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\reshape\concat.py:707(_get_comb_axis)
    13443    0.100    0.000    0.166    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:452(urlsplit)
    40327    0.130    0.000    0.166    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\base.py:649(_simple_new)
        1    0.001    0.001    0.165    0.165 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\api.py:72(get_objs_combined_axis)
   161304    0.162    0.000    0.162    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.159    0.159 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\api.py:120(_get_combined_index)
    40326    0.056    0.000    0.157    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\series.py:784(name)
    40325    0.046    0.000    0.155    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:466(array_equivalent)
